Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2449.9220666666665
FDW14,OUT017,1437.6101555555556
NCN55,OUT010,345.55019999999996
FDQ58,OUT017,1991.5557555555558
FDY38,OUT027,6029.262866666667
FDH56,OUT046,2144.763733333333
FDL48,OUT018,1620.0393555555556
FDC48,OUT027,1754.1610666666666
FDN33,OUT045,1615.2308000000003
FDA36,OUT017,2471.745511111111
FDT44,OUT017,2047.8528444444444
FDQ56,OUT045,1108.7789333333333
NCC54,OUT019,463.0269111111111
FDU11,OUT049,2828.6882888888886
DRL59,OUT013,1050.3364888888889
FDM24,OUT049,3304.4393777777777
FDI57,OUT045,1996.2163555555558
DRC12,OUT018,2905.5512
NCM42,OUT027,2585.375377777778
FDA46,OUT010,506.5998222222222
FDA31,OUT013,2757.3737111111113
NCJ31,OUT035,2529.5961333333335
FDG52,OUT046,1921.424822222222
NCL19,OUT019,272.23822222222225
FDS10,OUT035,3098.559222222222
FDX22,OUT010,471.97822222222226
NCF19,OUT035,1194.2232666666666
NCE06,OUT046,2754.636533333333
DRC27,OUT046,3667.0784444444444
FDE21,OUT035,2332.2974
NCR42,OUT019,186.64593333333335
FDX51,OUT018,2577.9776
NCR06,OUT018,906.6716444444445
FDU31,OUT027,5851.568244444444
FDU59,OUT017,1957.6739333333333
FDR03,OUT027,5878.866044444444
FDS49,OUT027,2556.967911111111
FDD48,OUT010,211.87235555555557
NCF18,OUT017,3282.2460444444446
NCD43,OUT027,2123.0142666666666
NCD54,OUT018,2035.276622222222
FDY19,OUT010,206.54595555555557
NCY54,OUT017,1932.2995555555551
NCL19,OUT018,2113.323177777778
FDP23,OUT010,461.9172444444444
FDC26,OUT013,2057.9878
FDR14,OUT010,243.01700000000002
NCS41,OUT035,3080.2127333333333
FDF41,OUT035,4299.4404888888885
FDU34,OUT046,1997.1040888888883
DRH11,OUT046,1202.2868444444443
FDM03,OUT013,1562.1147555555553
FDS31,OUT017,3666.7085555555554
FDJ20,OUT017,1480.6652222222222
FDV44,OUT027,4805.818377777778
FDG02,OUT049,2258.9114444444444
FDA09,OUT013,3617.4393555555557
FDT04,OUT013,1152.2778666666666
FDL58,OUT019,512.370088888889
FDE52,OUT045,1024.7401777777775
FDW12,OUT035,2656.7639333333336
FDL51,OUT017,2965.4732
NCY42,OUT027,3667.1524222222224
FDR07,OUT017,1581.7188666666668
FDN40,OUT045,1899.379444444444
FDB35,OUT027,2605.4233555555556
FDA22,OUT017,3131.627288888889
NCL06,OUT046,2902.2961777777778
FDI35,OUT013,2459.761111111111
NCW42,OUT045,3211.005444444445
NCX06,OUT049,3151.2314
FDC37,OUT027,2253.733
FDZ14,OUT018,1282.0348888888889
DRG49,OUT049,3630.6074000000003
NCG06,OUT045,3388.922
DRC36,OUT045,2063.536133333333
FDV21,OUT019,301.5334222222222
FDB53,OUT046,2525.971222222222
DRP47,OUT019,255.3712888888889
FDA14,OUT013,1861.2069111111114
DRC24,OUT035,2471.671533333333
FDW21,OUT018,1383.2364888888887
NCH29,OUT046,2284.6557111111115
FDU58,OUT013,2446.8889777777777
FDY27,OUT017,1911.141911111111
FDV56,OUT035,2007.8308666666667
FDT59,OUT046,4113.460355555555
FDB23,OUT046,2185.9693555555555
FDR49,OUT045,1388.2669777777776
FDB03,OUT010,524.7243777777779
FDN39,OUT045,2421.2186888888887
FDX02,OUT027,6468.986777777777
FDQ16,OUT027,2335.4784444444444
FDU35,OUT018,2362.332377777778
NCT29,OUT013,2156.748133333333
FDZ27,OUT046,1035.0230888888889
FDN57,OUT017,2196.2522666666664
FDA03,OUT018,1652.4416222222221
FDZ36,OUT045,3252.9508444444446
NCU05,OUT013,1311.9219111111113
FDT39,OUT018,2615.4103555555557
FDK60,OUT017,1832.2076222222224
FDZ25,OUT017,3297.8553555555554
FDG12,OUT046,1967.365022222222
DRB01,OUT019,561.4173555555556
NCC43,OUT027,5492.554088888889
FDX13,OUT019,684.6643333333334
FDM22,OUT049,1092.2079111111111
FDJ03,OUT027,2055.694488888889
FDU14,OUT018,3710.6513555555553
FDB33,OUT010,379.50600000000003
FDP27,OUT046,2725.4892888888885
FDO38,OUT010,256.11106666666666
FDE28,OUT027,5508.089422222222
FDO27,OUT035,2415.3004666666666
DRL23,OUT027,2818.627311111111
FDS28,OUT046,1321.9828888888887
FDX24,OUT013,1310.8862222222224
FDZ02,OUT035,1418.0060444444443
FDL46,OUT045,1641.9367777777777
FDS60,OUT027,3855.2779111111117
NCO06,OUT017,683.3327333333333
FDO16,OUT035,1886.2853777777777
FDC60,OUT049,1712.067711111111
FDA48,OUT018,2297.157955555556
FDZ36,OUT027,4824.460777777778
FDK27,OUT045,1572.3976666666667
FDW23,OUT018,1395.2948666666664
FDM14,OUT018,1811.6418
FDM14,OUT013,1962.7783999999997
FDW60,OUT018,2030.6160222222222
FDE21,OUT013,1590.004377777778
NCM42,OUT035,2044.1539555555557
FDY59,OUT010,230.14486666666664
DRI49,OUT049,1182.3868222222222
FDT28,OUT019,335.78513333333336
FDQ22,OUT018,1526.6794
FDR60,OUT049,1549.4645555555555
FDC50,OUT019,332.9739777777778
FDV24,OUT013,2326.971
DRF48,OUT010,404.2145777777778
FDQ47,OUT046,2114.136933333333
DRN36,OUT049,1242.0868888888888
NCY06,OUT035,2341.7665555555554
FDE52,OUT035,1504.4860666666668
NCB54,OUT045,2411.3796444444447
NCF31,OUT035,2688.796311111111
FDJ08,OUT027,4709.351355555556
NCC07,OUT017,2128.488622222222
NCD19,OUT027,1369.106733333333
FDL46,OUT049,2449.9220666666665
FDM20,OUT045,2740.5067777777776
NCI06,OUT010,377.73053333333337
DRM11,OUT035,3228.2422666666666
NCH07,OUT018,2023.8840444444443
FDS23,OUT013,1697.863977777778
FDO49,OUT018,1787.5990222222222
FDS35,OUT049,2497.8596666666667
DRK39,OUT045,1458.841777777778
DRI39,OUT049,1012.7557777777778
FDV04,OUT017,1987.4869777777776
NCN14,OUT035,2640.414844444445
FDH08,OUT013,3725.446911111111
FDS20,OUT046,2905.921088888889
FDV40,OUT049,1196.368622222222
FDZ48,OUT010,185.90615555555556
FDS24,OUT027,2676.146111111111
FDK44,OUT049,2347.906711111111
FDS48,OUT045,1901.9686666666666
FDK26,OUT010,287.18173333333334
FDD23,OUT045,2950.5296888888893
NCH54,OUT017,2711.3595333333337
NCP14,OUT010,317.14273333333335
FDM60,OUT010,170.96264444444444
FDV24,OUT017,2617.555711111111
FDH08,OUT018,2786.8168666666666
FDS12,OUT027,3206.4928
FDR39,OUT027,4693.372155555556
FDP12,OUT027,2519.0912888888893
DRF60,OUT027,4978.778422222222
FDC09,OUT035,1884.7318444444443
FDF50,OUT018,2805.311311111111
FDG28,OUT035,3989.1037111111114
NCE19,OUT017,864.8742
NCM53,OUT010,277.3426888888889
NCN18,OUT049,1506.3355111111114
FDF32,OUT035,3320.788466666667
FDF11,OUT013,3096.561822222222
DRI59,OUT049,3097.819444444444
NCG54,OUT035,3422.655866666667
FDM44,OUT046,1680.1832888888887
FDT57,OUT018,2792.9570222222223
FDV24,OUT046,2150.312066666667
FDI50,OUT019,584.8683111111111
FDS09,OUT035,1346.9134000000001
NCC31,OUT027,3896.039666666666
FDQ07,OUT019,408.28335555555554
FDC22,OUT017,2400.0610444444446
FDZ56,OUT046,2113.101244444444
FDZ40,OUT019,123.09902222222223
FDS46,OUT027,2960.590666666667
DRD24,OUT045,2162.1485111111115
FDV45,OUT017,3306.5847333333336
FDL26,OUT045,3142.8719111111113
FDA56,OUT018,1927.7869111111113
FDN27,OUT046,1832.0596666666668
FDM20,OUT049,3319.3089111111112
FDO16,OUT017,1583.1984222222222
FDL03,OUT035,3280.100688888889
FDE58,OUT046,2177.2399777777778
FDI02,OUT027,3465.415022222222
NCC55,OUT019,278.4523555555555
FDR03,OUT018,2946.0170444444443
FDB14,OUT017,2060.355088888889
FDR45,OUT013,3359.108955555556
NCN07,OUT017,1866.6812666666665
FDM51,OUT019,258.3304
FDT52,OUT027,5678.016377777778
FDL26,OUT046,2371.283688888889
NCZ42,OUT046,2279.773177777778
DRI47,OUT019,262.47315555555554
FDW40,OUT013,2367.510822222222
FDN34,OUT046,2950.2337777777775
FDS01,OUT035,2556.1541555555555
NCG55,OUT045,1818.8176444444443
FDC11,OUT035,2770.0978888888885
FDX35,OUT018,1695.1268000000002
NCB06,OUT046,2484.7655999999997
FDR09,OUT019,476.26893333333334
FDC53,OUT017,1243.6404222222222
FDY45,OUT013,3082.4320666666667
FDA22,OUT010,424.1885777777777
FDE02,OUT035,1545.2478222222223
FDW21,OUT045,1812.3075999999999
FDV34,OUT046,1203.3225333333332
FDS59,OUT049,1994.6628222222223
NCW17,OUT017,2008.644622222222
NCK54,OUT046,1701.6368444444445
FDG17,OUT019,425.89006666666666
FDG35,OUT017,2517.0938888888886
FDD08,OUT010,203.1429777777778
NCO07,OUT017,3373.0907555555555
FDJ10,OUT010,259.51404444444444
FDW36,OUT017,1736.4064
FDW21,OUT010,259.662
FDY19,OUT017,2079.7372666666665
DRE03,OUT013,952.463888888889
NCC55,OUT049,1097.7562444444443
FDH52,OUT010,249.89693333333332
FDO09,OUT017,3628.2401111111108
FDU43,OUT045,4483.645155555555
FDX09,OUT010,362.7870222222222
FDH40,OUT019,137.4507111111111
FDW58,OUT017,1637.7200444444445
FDC47,OUT017,4366.1684444444445
NCR41,OUT035,1972.4694888888891
DRG49,OUT035,2990.6256444444443
FDC52,OUT027,4167.316177777777
FDY13,OUT046,1483.9942222222223
FDY35,OUT013,2096.456244444444
FDI35,OUT017,2860.572711111111
NCU18,OUT049,3067.044688888889
FDY33,OUT018,2573.3170000000005
FDC15,OUT027,4593.65011111111
FDU01,OUT049,1998.3617111111114
NCU42,OUT046,2362.554311111111
NCV29,OUT018,2418.111622222222
NCY30,OUT017,2911.9132888888885
FDQ46,OUT049,2251.5136666666667
FDG58,OUT027,3613.2226222222225
FDK33,OUT017,3115.9440000000004
NCD07,OUT045,1400.8432
NCX29,OUT027,4071.958822222222
NCT42,OUT013,2494.456688888889
DRN59,OUT035,1525.051888888889
FDI44,OUT035,1328.714866666667
FDA45,OUT049,2255.952333333333
FDP31,OUT045,1012.1639555555555
FDY01,OUT046,1367.4052444444446
FDT09,OUT018,1790.0402888888887
DRH03,OUT027,1972.5434666666665
FDA36,OUT018,2181.678644444444
NCF31,OUT017,2436.7540222222224
FDG14,OUT049,2547.2028444444445
FDG28,OUT027,5678.016377777778
FDU14,OUT049,3106.1789333333336
FDY47,OUT019,288.95719999999994
FDI56,OUT049,1040.6454
DRD01,OUT013,2144.6897555555556
FDM22,OUT046,930.862377777778
FDH33,OUT013,1698.5297777777778
DRZ24,OUT013,1942.730422222222
NCQ38,OUT046,1640.5312000000001
FDO16,OUT027,2216.078311111111
FDU07,OUT027,4319.266533333333
NCB07,OUT013,3009.3420222222217
FDU48,OUT045,1656.0665333333334
NCM43,OUT045,2497.4157999999998
FDR31,OUT010,224.0786888888889
DRK49,OUT018,699.8297777777778
NCI30,OUT010,707.9673333333334
DRD60,OUT017,3467.560377777778
NCG19,OUT046,3052.693
FDH12,OUT035,1573.8772222222224
FDM32,OUT035,1453.071511111111
FDM27,OUT035,3047.070688888889
NCU53,OUT027,4160.510222222222
NCQ18,OUT046,2139.0674444444444
FDS10,OUT013,2621.6984666666667
FDB33,OUT027,4428.827622222223
FDI12,OUT013,1208.5009777777777
NCW42,OUT013,3443.221688888889
NCC06,OUT018,1700.897066666667
FDW02,OUT017,2212.305444444444
NCD43,OUT017,1586.8233333333333
FDM57,OUT018,1043.9004222222222
FDA58,OUT017,4150.301288888888
FDK56,OUT046,2429.3562444444447
FDP52,OUT045,2856.5039333333334
FDW20,OUT018,2114.0629555555556
FDS52,OUT049,1407.7971111111112
NCT29,OUT018,1497.2362444444448
NCL54,OUT013,2979.011133333333
FDC05,OUT045,2281.178755555555
FDF34,OUT035,3010.0817999999995
FDP03,OUT027,3437.0075555555554
